subjects	S	flankers	R	rt
1	left	incongruent	left	0.330955638259276
1	right	congruent	right	0.221492538645249
1	left	congruent	left	1.53107779014917
1	right	incongruent	right	0.278085823607355
1	right	congruent	left	0.619954785259887
1	left	incongruent	right	0.239893563606866
1	right	congruent	right	0.768259678108304
1	right	congruent	right	1.15014282052838
1	right	congruent	right	0.337946295650979
1	right	congruent	right	0.418395081789448
1	right	congruent	right	0.31546315850073
1	right	congruent	right	0.783382707489941
1	left	incongruent	right	0.276888733508068
1	left	incongruent	left	0.32682205087922
1	left	congruent	left	0.425367360918113
1	left	congruent	left	1.12057970038749
1	right	congruent	right	0.855336949579404
1	right	incongruent	right	0.26439057077902
1	left	incongruent	left	0.871397232779554
1	left	congruent	left	0.490500918959255
1	right	congruent	left	0.53624666947363
1	left	congruent	left	0.498870407031333
1	left	incongruent	left	0.29271263103523
1	right	incongruent	right	0.320978004940732
1	right	congruent	right	0.402718002765796
1	left	congruent	left	0.47565073608504
1	left	congruent	left	0.27946881328425
1	right	incongruent	right	0.367355701616055
1	right	congruent	right	0.226891076046605
1	left	congruent	right	0.273583852184695
1	left	congruent	right	0.38778701149317
1	right	incongruent	right	0.231694401229432
1	left	congruent	left	0.388775759678386
1	left	congruent	left	0.941400327061318
1	right	incongruent	right	0.276919667822822
1	right	congruent	right	0.28079852369245
1	left	congruent	left	0.760104609935621
1	right	incongruent	right	0.31278272163255
1	right	incongruent	right	0.441307273757862
1	right	incongruent	right	0.304698974716652
1	right	incongruent	left	0.667632042318574
1	left	incongruent	right	0.298587355132127
1	right	congruent	left	0.296303642995414
1	right	incongruent	right	1.03188273566641
1	left	congruent	left	0.345812309516181
1	right	incongruent	right	0.333168619387331
1	right	congruent	right	0.287976196450104
1	right	congruent	right	0.462614211212584
1	left	incongruent	right	0.43596904265402
1	right	incongruent	left	1.20677329141926
1	right	incongruent	right	0.456070477900694
1	left	incongruent	left	1.02195039338633
1	left	incongruent	left	0.190816106520177
1	left	congruent	right	0.296704533394711
1	left	congruent	left	0.923681628084861
1	left	congruent	left	0.203655800106754
1	left	incongruent	right	0.902424941950688
1	right	congruent	right	0.221043655006057
1	right	congruent	right	0.602183077286101
1	left	incongruent	right	1.34600422912223
1	left	incongruent	left	0.284749562538242
1	left	congruent	left	0.586310635513035
1	right	incongruent	right	1.42306616597394
1	right	incongruent	right	0.332275763848372
1	right	congruent	left	0.413983289952809
1	right	incongruent	right	0.366293089571175
1	right	incongruent	left	0.18239618893258
1	left	congruent	right	0.268875560841881
1	right	incongruent	right	0.290111844779013
1	right	congruent	right	0.236128890912191
1	right	congruent	right	0.216603302340165
1	right	incongruent	right	0.417792117124862
1	left	incongruent	left	0.323259560462341
1	right	incongruent	left	0.304513757357487
1	left	congruent	left	0.261203950111128
1	right	congruent	left	0.561457949268084
1	right	incongruent	left	0.478405971597286
1	left	incongruent	left	0.307375240729119
1	left	incongruent	left	0.662063269897892
1	left	incongruent	left	0.591428083182403
1	right	congruent	right	0.488813440384682
1	left	congruent	left	1.11933571203808
1	left	congruent	left	0.537128503412319
1	right	congruent	left	0.345994066004763
1	right	incongruent	right	0.456160093356024
1	right	incongruent	right	0.85244984747342
1	right	incongruent	right	0.4949982328834
1	left	congruent	right	0.718173055878238
1	right	congruent	right	0.62323652325272
1	right	congruent	right	0.37258401524953
1	left	congruent	left	0.386371331725946
1	left	incongruent	right	0.355133949436803
1	left	congruent	left	0.425434008336857
1	left	congruent	left	0.373782695635121
1	right	congruent	right	0.711934052492589
1	left	incongruent	left	0.434147952266124
1	right	incongruent	right	0.341600686238901
1	left	incongruent	right	0.453664187610038
1	left	congruent	left	0.648154760953988
1	right	congruent	left	0.375269457849683
1	left	congruent	left	0.220219791661721
1	left	incongruent	left	0.224062518274169
1	right	incongruent	left	0.288152023245478
1	left	incongruent	left	0.281737155644508
1	left	incongruent	left	0.383209249944615
1	right	incongruent	right	0.257027412314026
1	left	congruent	right	0.669597880740461
1	right	incongruent	right	1.11978961384727
1	left	incongruent	right	0.289616868665307
1	left	incongruent	left	0.336546774061357
1	left	incongruent	left	0.869605463510648
1	left	congruent	left	0.448307213300425
1	right	incongruent	right	0.28673435889322
1	left	incongruent	left	0.223608468927278
1	right	incongruent	left	1.07110653321929
1	right	congruent	right	0.244132203812117
1	right	congruent	right	0.681216207445463
1	left	incongruent	right	0.304423261457483
1	left	incongruent	left	0.79087708841407
1	right	incongruent	right	0.656782174480507
1	right	congruent	right	0.251658292579482
1	left	congruent	left	0.355537379809913
1	left	congruent	left	0.254990794114315
1	left	congruent	left	0.75408172968409
1	right	congruent	left	0.630058669652935
1	left	congruent	left	1.01043811842193
1	right	congruent	right	0.342877770094373
1	left	congruent	left	0.404163803217984
1	left	incongruent	left	0.439278580891303
1	right	incongruent	right	0.302210126913627
1	right	incongruent	right	0.581708945382172
1	right	incongruent	right	0.28621730896178
1	left	incongruent	left	0.506220701395012
1	left	incongruent	left	0.38093644151424
1	right	incongruent	right	0.241300401843219
1	left	incongruent	left	0.606916141590075
1	left	congruent	left	0.367601014954564
1	right	incongruent	right	0.21694579568531
1	left	congruent	left	0.965974187114186
1	left	incongruent	right	0.850032073563008
1	right	congruent	right	0.449081517946708
1	right	incongruent	left	0.245982818890016
1	left	congruent	left	0.475391076589035
1	right	congruent	right	0.405904888628874
1	right	incongruent	right	0.193770659929933
1	right	congruent	left	0.272003331890676
1	left	congruent	right	0.312144029849322
1	left	congruent	left	0.449594051384508
1	right	incongruent	left	0.278127864117559
1	right	incongruent	right	0.39731709414869
1	left	incongruent	left	0.301682246965984
1	left	incongruent	left	0.788258223145444
1	right	congruent	right	0.213490339274821
1	right	congruent	right	0.276726186606582
1	right	congruent	right	0.448839549655656
1	right	incongruent	right	0.242786480897206
1	left	incongruent	left	0.212352016813667
1	right	incongruent	right	1.02314369979007
1	left	incongruent	left	0.595566096803754
1	right	incongruent	left	0.25110749052777
1	left	congruent	right	0.339927792703255
1	right	incongruent	left	0.250896949684422
1	right	congruent	right	0.683645464697663
1	left	congruent	left	0.208935432207781
1	left	incongruent	left	1.00426851385398
1	left	incongruent	right	0.693143887391097
1	left	congruent	left	0.847464694899644
1	left	congruent	right	0.274610773465836
1	left	incongruent	right	0.788351994998205
1	right	congruent	right	0.505327193483593
1	right	incongruent	right	0.447090371391165
1	left	incongruent	right	0.937631493244144
1	left	congruent	right	0.488880169993991
1	right	congruent	left	0.863017185256555
1	left	incongruent	right	0.217392901833381
1	left	incongruent	left	0.573476084497536
1	left	congruent	right	0.195210591742745
1	right	incongruent	left	0.427119623975928
1	right	congruent	right	0.2620726489026
1	left	congruent	left	0.442414681215477
1	right	congruent	left	0.453129455658738
1	right	congruent	left	0.302408082316262
1	right	congruent	right	0.532557195117683
1	right	congruent	right	0.569106427464345
1	left	incongruent	right	0.215175185456069
1	left	incongruent	right	1.15320666230532
1	left	incongruent	left	0.396824894335995
1	right	incongruent	right	0.688381767323078
1	left	incongruent	right	0.97824644356831
1	left	congruent	right	0.60017510641965
1	right	congruent	right	0.312110639028623
1	left	incongruent	right	0.465348964704941
1	right	incongruent	right	0.822169984288231
1	right	incongruent	right	0.840689862934469
1	left	congruent	right	0.346945894093138
1	right	incongruent	right	0.232427696892484
1	left	incongruent	left	0.408707601061399
1	right	incongruent	right	0.378540307778835
1	right	congruent	right	0.319567359481647
1	right	incongruent	left	0.62624292334614
1	left	congruent	left	0.323264237310857
1	right	congruent	right	0.341993730090419
1	right	incongruent	right	0.412152644001385
1	left	congruent	left	0.895913007315433
1	right	incongruent	right	0.324491473288201
1	left	incongruent	left	1.87465282522387
1	left	congruent	left	0.276548034340914
1	right	incongruent	right	0.784423298164275
1	left	congruent	left	0.238336872918222
1	right	incongruent	right	0.357907098961757
1	right	congruent	right	0.748094403760747
1	left	congruent	left	0.286223490268098
1	left	congruent	left	0.335181870878254
1	left	congruent	left	0.659064911881704
1	right	congruent	right	0.253846518996267
1	left	congruent	left	1.02073246734621
1	right	incongruent	right	0.880581164157307
1	right	congruent	right	0.380239290596124
1	left	incongruent	left	0.339787517989098
1	right	incongruent	right	0.420635113272583
1	left	congruent	right	0.534599473251711
1	left	incongruent	left	0.907024473849404
1	left	incongruent	left	0.329487927210158
1	left	congruent	left	0.713938950193056
1	left	congruent	left	0.618967231582524
1	right	congruent	right	0.342501132343056
1	left	incongruent	left	0.884108403873223
1	right	congruent	left	0.515244020900205
1	right	congruent	right	0.445323094815378
1	right	congruent	right	0.218447439413064
1	left	incongruent	left	0.214013790989191
1	left	incongruent	left	0.401821673357713
1	left	congruent	left	0.211966053672583
1	left	incongruent	right	1.08085243570857
1	right	incongruent	left	0.368234265065445
1	left	congruent	left	1.41575215805133
1	left	incongruent	left	0.279844782511904
1	left	incongruent	left	1.08401694382747
1	right	congruent	right	0.223168644885319
1	left	congruent	left	0.257993531530655
1	left	incongruent	right	0.552919325449311
1	left	incongruent	right	0.283867537544551
1	left	congruent	left	0.851536658591708
1	right	incongruent	right	1.10146519203754
1	right	incongruent	right	0.275200682032066
1	right	congruent	right	0.470205457621586
1	right	incongruent	right	0.3294501335795
1	left	congruent	left	0.614794375233761
1	right	incongruent	right	0.335349969472653
1	right	incongruent	right	0.553610794042574
1	right	incongruent	right	0.772885572572544
1	left	congruent	left	0.382778436619856
1	left	congruent	left	0.250408229276243
1	left	congruent	left	0.249074229571402
1	right	incongruent	right	0.325319272822253
1	right	congruent	right	0.448375293256932
1	left	incongruent	right	0.427338994622653
1	left	incongruent	left	0.196180472041974
1	right	congruent	right	0.354210522148437
1	left	incongruent	left	0.746156014666968
1	left	incongruent	left	1.11378990413
1	left	congruent	left	0.679491866743563
1	left	incongruent	left	0.231570043467113
1	left	incongruent	left	0.501950860081799
1	right	congruent	right	0.295933390041346
1	right	incongruent	right	0.429273155927008
1	right	incongruent	right	0.292344803163231
1	right	incongruent	right	0.512439089731459
1	right	congruent	right	0.294929887778572
1	left	congruent	left	0.433870586280411
1	right	congruent	right	0.282758699301268
1	right	incongruent	right	0.865109381688575
1	right	congruent	right	0.6513712312283
1	left	congruent	right	0.219542612376149
1	left	incongruent	right	0.370726774315265
1	left	incongruent	right	0.561290105818952
1	right	incongruent	right	0.380964746878161
1	left	incongruent	left	0.238097809013496
1	right	incongruent	right	1.37598627048069
1	left	incongruent	left	0.245796433878132
1	left	incongruent	left	0.380222924773281
1	left	incongruent	right	0.330502180885042
1	left	congruent	left	0.373139885372796
1	right	congruent	left	0.246245165819851
1	left	incongruent	left	0.565533230070455
1	left	congruent	left	0.277073409948996
1	right	incongruent	left	0.277905849795947
1	left	congruent	right	0.391319728079906
1	right	congruent	right	0.229368134089548
1	left	congruent	left	0.464462220586165
1	left	congruent	left	0.837578838722032
1	left	incongruent	left	0.75200557718126
1	left	congruent	right	0.740046997126025
1	left	congruent	left	0.376437857446416
1	right	incongruent	right	0.471654860335205
1	right	congruent	right	0.347172154128417
1	right	incongruent	right	0.356707891953579
1	left	incongruent	left	0.633259000827703
1	right	incongruent	left	0.600646129006878
1	right	incongruent	left	0.310908286809654
1	right	congruent	right	0.731268340807738
1	left	congruent	right	0.396925592898822
1	left	congruent	right	0.295387556489551
1	left	congruent	left	0.443006153196342
1	right	congruent	right	0.420557250345333
1	right	congruent	right	0.31046772023204
1	left	congruent	left	0.359521219067636
1	left	incongruent	left	0.373395842965545
1	right	incongruent	right	0.236603915755184
1	right	congruent	left	0.703760363378501
1	left	congruent	right	0.498117887466348
1	left	incongruent	left	0.383963838798002
1	left	incongruent	left	0.785035521673689
1	right	congruent	left	1.33675299018505
1	left	incongruent	left	0.943185635378058
1	left	congruent	left	0.35700493296608
1	left	congruent	left	0.340967078979829
1	left	congruent	left	0.380925104309475
1	right	incongruent	right	0.724716511507793
1	right	congruent	right	0.29132195390773
1	left	congruent	left	0.420162384968812
1	right	congruent	right	0.265997972043569
1	right	incongruent	left	0.781641060893705
1	left	incongruent	left	0.531393761326719
1	right	congruent	right	0.552832757194746
1	right	congruent	right	0.355267520611432
1	left	congruent	left	0.279881131677102
1	left	incongruent	left	0.344787700943869
1	right	incongruent	right	0.41174895036421
1	right	congruent	right	0.493641238717399
1	right	incongruent	left	0.497706184965481
2	right	congruent	right	0.365303259511462
2	left	congruent	left	0.185167374134181
2	left	incongruent	left	0.566237486266082
2	left	incongruent	left	0.868992103288456
2	left	congruent	left	0.343778308160663
2	left	incongruent	left	0.356679046979184
2	left	incongruent	left	0.238283097644141
2	right	incongruent	left	0.400049899453007
2	right	congruent	right	0.186750439647994
2	right	congruent	right	0.316677686202176
2	right	incongruent	right	0.352774620325016
2	right	incongruent	right	0.193327708497832
2	left	incongruent	left	0.290138861545658
2	right	congruent	right	0.150848098411734
2	right	incongruent	left	0.638950605286767
2	left	congruent	left	0.243813578276527
2	left	congruent	left	0.655162122126299
2	right	incongruent	right	0.10270283252952
2	right	incongruent	right	0.175891533688229
2	right	incongruent	right	0.149204994435954
2	left	congruent	left	0.2126128279175
2	right	incongruent	right	0.27001532308891
2	left	congruent	left	0.148210819028264
2	right	incongruent	left	1.64579989018686
2	left	incongruent	left	0.335426220739652
2	right	incongruent	left	0.116252447804057
2	left	incongruent	left	0.71932460524328
2	left	congruent	left	0.207292146543709
2	left	incongruent	left	0.225799114093113
2	left	incongruent	left	0.27940520818482
2	left	incongruent	left	0.408594862387617
2	right	congruent	right	0.162084210109625
2	left	congruent	left	0.268549165634076
2	right	congruent	right	0.150817687800218
2	right	incongruent	right	0.49986258830397
2	left	congruent	left	0.189652977198494
2	right	incongruent	right	0.444790777204555
2	left	congruent	left	0.190306586816217
2	left	congruent	left	0.348551455792423
2	left	congruent	right	0.379780313683463
2	right	incongruent	left	0.316993253768006
2	right	incongruent	right	0.379581614902175
2	right	congruent	right	0.47846857776504
2	right	incongruent	right	0.246374613520029
2	right	congruent	right	0.344997199725103
2	left	congruent	left	0.274372196579512
2	left	congruent	left	0.5717636950466
2	left	incongruent	right	0.177461098584546
2	left	incongruent	left	0.672730267499571
2	left	incongruent	right	0.143685692254738
2	right	congruent	right	0.172309596934654
2	left	congruent	left	0.304154817147236
2	right	incongruent	right	0.307281889875312
2	right	incongruent	right	0.913281985056173
2	left	congruent	left	0.371684078705719
2	right	incongruent	right	0.210091749715189
2	left	incongruent	right	0.482360153068724
2	left	congruent	left	0.6612536203551
2	right	incongruent	right	0.257674349112532
2	left	congruent	left	0.127739683816167
2	right	congruent	right	0.41941785418491
2	left	congruent	right	0.164599643799883
2	right	congruent	right	0.462621035719963
2	left	incongruent	left	0.400406268967619
2	left	congruent	left	0.68688298372113
2	right	incongruent	right	0.586571771423842
2	right	congruent	right	0.135742005484007
2	right	incongruent	right	0.163944083863565
2	left	congruent	left	1.105553318116
2	left	incongruent	left	0.424346030036556
2	left	incongruent	left	0.392113330813364
2	left	incongruent	left	0.320180882306133
2	right	incongruent	right	0.122135119487005
2	left	incongruent	right	0.5828221011197
2	right	congruent	right	0.206355012851431
2	right	incongruent	left	0.17065625175383
2	right	incongruent	right	0.349403316894534
2	right	congruent	right	0.485445187685408
2	right	congruent	left	0.242182175584412
2	right	incongruent	left	0.24288000920026
2	left	incongruent	left	0.122240618770643
2	right	incongruent	right	1.27308726197685
2	right	congruent	right	0.48673521466887
2	left	incongruent	left	0.303959245561507
2	left	incongruent	left	0.161389992823152
2	right	incongruent	right	0.370931769135719
2	left	congruent	left	0.289951557818632
2	left	congruent	left	0.102188869849676
2	left	incongruent	left	0.20218456379866
2	right	incongruent	right	0.499009129527797
2	left	incongruent	left	0.249750941602703
2	left	incongruent	left	0.31357710283309
2	right	incongruent	left	0.470082233590707
2	right	congruent	right	0.14469991284604
2	right	incongruent	right	1.06916594991974
2	left	congruent	left	0.266872634584929
2	left	incongruent	left	0.63395887555583
2	left	incongruent	left	0.188112382707563
2	left	congruent	left	0.367507477334785
2	right	incongruent	right	0.332541395696615
2	right	congruent	right	0.187606158446913
2	left	incongruent	left	0.240564725279941
2	right	incongruent	right	0.261425395380085
2	left	incongruent	left	1.49529126720028
2	left	congruent	left	0.488824200228482
2	left	congruent	left	0.31859810053536
2	right	congruent	right	0.436460335083403
2	left	incongruent	right	0.305282057185933
2	right	congruent	right	0.142513416962256
2	right	incongruent	right	0.353792248858093
2	right	incongruent	right	0.221695245257723
2	left	congruent	left	0.154740420886759
2	right	incongruent	right	0.326044431283824
2	right	incongruent	right	0.211957030235395
2	right	congruent	right	0.7931816391407
2	right	congruent	right	0.117125845888403
2	right	congruent	right	0.62958663452918
2	right	incongruent	right	0.25157120108816
2	right	incongruent	right	0.316551337083602
2	left	incongruent	left	0.591290587383833
2	right	congruent	right	0.144625063600202
2	left	incongruent	left	0.423926557946275
2	right	incongruent	left	0.375255700440441
2	left	congruent	left	0.2486756832656
2	right	congruent	right	0.422828548668637
2	right	congruent	right	0.141871733970655
2	left	incongruent	left	0.404485407495214
2	right	congruent	right	0.421764111409906
2	left	incongruent	left	0.405757396996189
2	right	congruent	right	0.302510824205493
2	left	incongruent	left	0.321546380304758
2	left	congruent	left	0.304263796280815
2	left	congruent	left	0.188254600104265
2	right	incongruent	right	0.13507019950225
2	left	incongruent	left	0.23569986153996
2	left	congruent	left	0.460105684947312
2	left	incongruent	left	0.787142588271989
2	right	incongruent	right	0.184017864818714
2	left	congruent	left	0.450735238308702
2	right	congruent	left	0.460691705634776
2	right	incongruent	right	0.447179326966255
2	left	congruent	left	0.109962998784685
2	right	congruent	right	0.431888917184777
2	left	congruent	left	0.19814652653219
2	right	incongruent	right	0.350371903724412
2	left	congruent	left	0.672895991267247
2	left	incongruent	left	0.454389734271471
2	left	incongruent	left	0.273368052915471
2	left	congruent	left	0.129211454414144
2	left	incongruent	left	0.1014142158203
2	left	congruent	left	0.116021672069241
2	right	incongruent	right	0.740356526657106
2	left	incongruent	left	0.256248533636403
2	right	congruent	right	0.288375033508236
2	left	incongruent	left	0.502617222277578
2	right	congruent	right	0.152705692204173
2	right	congruent	right	0.312390866981105
2	right	incongruent	right	0.556324014244858
2	left	congruent	left	0.166752132357581
2	left	congruent	left	0.309765169663145
2	left	incongruent	right	0.310395772601208
2	left	incongruent	left	0.418495625344317
2	right	incongruent	right	0.29025799493944
2	right	congruent	right	0.228433168330119
2	left	incongruent	left	0.761950431637056
2	left	congruent	left	0.284544529499307
2	left	congruent	left	0.189850753437713
2	left	congruent	left	0.484442068678976
2	right	incongruent	right	0.651793753948032
2	left	congruent	left	0.457241573403272
2	left	incongruent	left	0.577538537357128
2	right	congruent	right	0.219402434120177
2	right	incongruent	right	0.430404469914341
2	right	incongruent	right	0.276008251686428
2	left	incongruent	right	0.175466138359932
2	left	incongruent	left	0.495751152825818
2	left	incongruent	right	0.661787329541681
2	left	incongruent	right	0.174552773243471
2	left	congruent	left	0.376440000351957
2	left	incongruent	left	0.17031116170937
2	right	incongruent	right	0.336554433810925
2	right	incongruent	right	0.135415784140528
2	left	congruent	left	0.0947306291123942
2	left	incongruent	left	0.839382692831845
2	right	congruent	right	0.253737500903424
2	right	incongruent	right	1.32875104045007
2	left	congruent	left	0.137531466949947
2	right	congruent	right	0.337572299731598
2	right	congruent	right	0.260655571989695
2	right	congruent	right	0.448887365603657
2	right	incongruent	right	0.366544223465549
2	left	incongruent	left	0.387795639176682
2	left	incongruent	left	0.492840098004746
2	left	incongruent	left	0.498709954783586
2	left	incongruent	left	0.672821832632802
2	left	congruent	left	0.385494129141905
2	left	congruent	left	0.144821701926365
2	left	incongruent	left	0.729698024279187
2	right	congruent	right	0.421272527480729
2	right	incongruent	right	0.7112097982402
2	left	congruent	left	0.629133170911156
2	right	incongruent	right	0.107078738011663
2	left	congruent	left	0.161246520103859
2	right	congruent	right	0.133998892790888
2	left	incongruent	right	0.268224551363772
2	right	incongruent	right	1.85837613086183
2	left	incongruent	left	0.149962840776233
2	left	incongruent	right	0.207959497188564
2	right	incongruent	right	0.255171143486271
2	left	incongruent	left	0.29067211133603
2	left	incongruent	right	0.556596289671418
2	left	incongruent	left	0.51701300029488
2	left	congruent	left	0.200582148140184
2	right	congruent	right	0.154081466257022
2	right	congruent	right	0.365688000683493
2	left	incongruent	left	0.358498971864463
2	right	incongruent	right	0.256787121416392
2	right	incongruent	left	0.158344355689768
2	right	congruent	right	0.155935315267428
2	left	incongruent	left	0.118157491997734
2	right	incongruent	right	0.50662390362732
2	left	incongruent	left	0.21455486281321
2	right	incongruent	right	0.341184050629376
2	right	congruent	right	0.178458041580405
2	right	congruent	right	0.186131410429544
2	right	incongruent	left	0.804589422074454
2	right	incongruent	right	0.268580690680687
2	right	incongruent	right	0.653693518541582
2	right	congruent	right	0.246855776671385
2	left	incongruent	left	0.454743314919298
2	left	congruent	left	0.153574966521235
2	left	congruent	left	0.220853580463864
2	left	incongruent	left	0.160438558085911
2	right	congruent	right	0.19575562297583
2	left	incongruent	left	0.886235776309181
2	right	congruent	right	0.287778512949593
2	left	congruent	left	0.506329829837551
2	right	congruent	left	0.762211726000759
2	right	congruent	right	0.218983385271785
2	right	incongruent	right	0.184317315323824
2	left	congruent	left	1.07469276300826
2	right	congruent	left	0.232457238836175
2	right	congruent	right	0.208935483088818
2	right	congruent	right	0.348397732304182
2	right	congruent	right	0.361015331917727
2	right	congruent	right	0.556215304702175
2	right	congruent	right	0.187388278707024
2	right	incongruent	right	0.755931058501334
2	right	congruent	left	0.116527865706005
2	left	congruent	left	0.308585624818873
2	left	congruent	left	0.378865791854931
2	right	incongruent	right	0.305930059548453
2	left	incongruent	left	0.452670713643941
2	right	incongruent	right	0.320486098603265
2	left	incongruent	left	0.217370924459446
2	right	congruent	right	0.225814538465377
2	left	congruent	left	0.368385472030136
2	left	congruent	left	0.450110855872263
2	left	congruent	left	0.216002120146455
2	left	incongruent	left	0.104263845170115
2	left	incongruent	left	0.355401729980883
2	right	congruent	right	0.226739482193919
2	left	congruent	left	0.410187511824571
2	left	congruent	left	0.118593951490974
2	right	incongruent	right	0.429767395399912
2	right	congruent	right	0.214401560977186
2	left	incongruent	left	0.557862463478776
2	left	incongruent	left	0.313159835104764
2	left	incongruent	right	0.387994424030728
2	right	congruent	right	0.309083308614352
2	right	congruent	right	0.392300492305001
2	right	incongruent	right	0.200953221719573
2	right	incongruent	right	0.478303000958938
2	right	incongruent	right	0.156245298134266
2	left	congruent	left	0.272387415795743
2	left	incongruent	left	0.533910061020409
2	left	congruent	left	0.343122258352695
2	right	incongruent	right	0.282654829081292
2	right	congruent	right	0.293815376613486
2	left	incongruent	left	0.801802647103756
2	left	incongruent	right	0.505199153206556
2	right	congruent	right	0.329535790272578
2	right	congruent	right	0.511293407584236
2	left	incongruent	left	0.283780489119468
2	left	congruent	left	0.16431733229093
2	left	congruent	left	0.538486286763674
2	left	incongruent	right	0.744910505966081
2	right	congruent	right	0.745753094593164
2	right	congruent	right	0.338560844762005
2	right	incongruent	right	0.213592844237783
2	left	incongruent	right	0.353835665019482
2	left	incongruent	left	0.317152367739104
2	right	congruent	right	0.350857963176168
2	right	incongruent	right	0.215338603518496
